film_id,film,mentions,list_2020,list_2021,list_2022,year,length,mpaa,imdb_categories,imdb_ratings,imdb_stars,imdb_pct10,dr_love,imdb_link,new,,44
114,Pride & Prejudice,1,1,0,0,2005,129,PG,"Drama, Romance",272448,7.8,22.4,No,https://www.imdb.com/title/tt0414387/,0,,
115,The Princess Bride,1,0,1,0,1987,98,PG,"Adventure, Family, Fantasy",407280,8.1,25.6,Yes,https://www.imdb.com/title/tt0093779/,0,,
116,Pulp Fiction,1,0,1,0,1994,154,R,"Crime, Drama",1903850,8.9,36.7,Yes,https://www.imdb.com/title/tt0110912/,0,,
117,The Pursuit of Happyness,1,0,0,1,2006,117,PG-13,"Biography, Drama",505467,8.0,18.9,No,https://www.imdb.com/title/tt0454921,1,,
118,Remember the Titans,1,0,1,0,2000,113,PG,"Biography, Drama, Sport",204383,7.8,15.8,No,https://www.imdb.com/title/tt0210945/,0,,
119,Reservoir Dogs,1,0,1,0,1992,99,R,"Crime, Drama, Thriller",955827,8.3,17.7,Yes,https://www.imdb.com/title/tt0105236/,0,,
120,Resident Evil,1,1,0,0,2002,100,R,"Action, Horror, Sci-Fi",256725,6.7,8.9,No,https://www.imdb.com/title/tt0120804/,0,,
121,Rise of the Guardians,1,0,1,0,2012,97,PG,"Animation, Adventure, Comedy",163429,7.3,14.7,No,https://www.imdb.com/title/tt1446192/,0,,
122,The Rite,1,0,0,1,2011,114,PG-13,"Drama, Horror, Mystery",98209,6.0,5.4,No,https://www.imdb.com/title/tt1161864,1,,
123,The Room,1,0,0,1,2003,99,R,Drama,89268,3.6,22.6,Yes,https://www.imdb.com/title/tt0368226,1,,
124,The Royal Tenenbaums,1,0,1,0,2001,110,R,"Comedy, Drama",276077,7.6,16.1,No,https://www.imdb.com/title/tt0265666/,0,,
125,Scent of a Woman,2,1,0,1,1992,156,R,Drama,277837,8.0,18.9,No,https://www.imdb.com/title/tt0105323/,0,,
126,Scott Pilgrim vs. The World,1,1,0,0,2010,112,PG-13,"Action, Comedy, Fantasy",400322,7.5,15.3,No,https://www.imdb.com/title/tt0446029/,0,,
127,The Secret Life of Walter Mitty,2,1,1,0,2013,114,PG,"Comedy, Drama, Fantasy",302996,7.3,11.4,No,https://www.imdb.com/title/tt0359950/,0,,
128,Seven Psychopaths,1,1,0,0,2012,110,R,"Comedy, Crime",248280,7.2,6.9,No,https://www.imdb.com/title/tt1931533/,0,,
129,Seven Samurai,1,0,0,1,1954,207,NR,"Action, Drama",343291,8.6,33.6,No,https://www.imdb.com/title/tt0047478,1,,
130,The Shawshank Redemption,5,1,1,3,1994,142,R,Drama,2457003,9.3,55.2,Yes,https://www.imdb.com/title/tt0111161/,0,,
131,The Silence of the Lambs,1,1,0,0,1991,118,R,"Crime, Drama, Thriller",1328577,8.6,23.4,Yes,https://www.imdb.com/title/tt0102926/,0,,
132,Skyfall,1,0,1,0,2012,143,PG-13,"Action, Adventure, Thriller",646976,7.7,12.1,Yes,https://www.imdb.com/title/tt1074638/,0,,
133,Sorry To Bother You,2,0,1,1,2018,112,R,"Comedy, Drama, Fantasy",70065,6.9,6,No,https://www.imdb.com/title/tt5688932/,0,,
134,Soul,1,0,1,0,2020,100,PG,"Animation, Adventure, Comedy",275850,8.1,18.9,No,https://www.imdb.com/title/tt2948372/,0,,
135,Spider Man: Into The Spider-Verse,1,0,1,0,2018,117,PG,"Animation, Action, Adventure",424275,8.4,24.7,Yes,https://www.imdb.com/title/tt4633694/,0,,
136,Spirited Away,3,1,2,0,2001,125,PG,"Animation, Adventure, Family",691237,8.6,31.1,No,https://www.imdb.com/title/tt0245429/,0,,
137,Star Wars: Episode IV - A New Hope,1,0,1,0,1977,121,PG,"Action, Adventure, Fantasy",1275100,8.6,31.5,Yes,https://www.imdb.com/title/tt0076759/,0,,
138,Star Wars: Episode V - The Empire Strikes Back,1,0,0,1,1980,124,PG,"Action, Adventure, Fantasy",1274725,8.7,34.1,Yes,https://www.imdb.com/title/tt0080684,1,,
139,Star Wars: Episode VI - Return of the Jedi,1,0,0,1,1983,131,PG,"Action, Adventure, Fantasy",1040865,8.3,22.2,Yes,https://www.imdb.com/title/tt0086190,1,,
140,Still Walking,1,1,0,0,2008,115,NR,Drama,15006,8.0,12.9,No,https://www.imdb.com/title/tt1087578/,0,,
141,Takers,1,1,0,0,2010,107,PG-13,"Action, Crime, Thriller",60446,6.2,7.8,No,https://www.imdb.com/title/tt1135084/,0,,
142,Tangled,1,1,0,0,2010,100,PG,"Animation, Adventure, Comedy",422163,7.7,16.4,Yes,https://www.imdb.com/title/tt0398286/,0,,
143,Thor: Love and Thunder,1,0,0,1,2022,118,PG-13,"Action, Adventure, Comedy",176041,6.7,11.3,No,https://www.imdb.com/title/tt10648342,1,,
144,Titanic,2,1,1,0,1997,134,PG-13,"Drama, Romance",1090439,7.8,22.9,Yes,https://www.imdb.com/title/tt0120338/,0,,
145,Toni Erdmann,1,0,0,1,2016,162,R,"Comedy, Drama",48475,7.3,8.9,No,https://www.imdb.com/title/tt4048272,1,,
146,Top Gun,3,1,0,2,1986,110,PG,"Action, Drama",310150,6.9,9.7,Yes,https://www.imdb.com/title/tt0092099/,0,,
147,Trollhunter,1,0,0,1,2010,103,PG-13,"Drama, Fantasy, Horror",74192,6.9,7.2,No,https://www.imdb.com/title/tt1740707,1,,
148,Trolls,1,0,1,0,2016,92,PG,"Animation, Adventure, Comedy",76011,6.5,9.3,No,https://www.imdb.com/title/tt1679335/,0,,
149,The Truman Show,2,0,0,2,1998,103,PG,"Comedy, Drama",1060187,8.2,15.5,Yes,https://www.imdb.com/title/tt0120382,1,,
150,Twister,1,0,1,0,1996,113,PG-13,"Action, Adventure, Thriller",186399,6.4,6.3,Yes,https://www.imdb.com/title/tt0117998/,0,,
151,V for Vendetta,1,0,1,0,2005,132,R,"Action, Drama, Sci-Fi",1064446,8.1,22.2,No,https://www.imdb.com/title/tt0434409/,0,,
152,Waking Life,1,1,0,0,2001,99,R,"Animation, Drama, Fantasy",62351,7.8,23.1,No,https://www.imdb.com/title/tt0243017/,0,,
153,A Walk to Remember,1,0,0,1,2002,101,PG,"Drama, Romance",210869,7.3,22.7,No,https://www.imdb.com/title/tt0281358,1,,
154,War of the Worlds,1,0,1,0,2015,116,PG-13,"Action, Adventure, Sci-Fi",428273,6.5,5.6,No,https://www.imdb.com/title/tt0407304/,0,,
155,What About Bob?,1,0,1,0,1991,99,PG,Comedy,65592,7.0,10,No,https://www.imdb.com/title/tt0103241/,0,,
156,When Harry Met Sally,1,1,0,0,1989,95,R,"Comedy, Drama, Romance",205136,7.6,13,Yes,https://www.imdb.com/title/tt0098635/,0,,
157,Whiplash,1,0,1,0,2014,106,R,"Drama, Music",760727,8.5,21.8,No,https://www.imdb.com/title/tt2582802/,0,,
158,Yeh Jawaani hai Deewani,1,1,0,0,2013,160,NR,"Drama, Musical, Romance",41100,7.2,18.9,No,https://www.imdb.com/title/tt2178470/,0,,
159,Zoolander,1,0,0,1,2001,90,PG-13,Comedy,264351,6.5,7.7,No,https://www.imdb.com/title/tt0196229,1,,
